sim_time, my_robot/rail_cart_joint?0/position_1
0.919, 1.17093e-11
0.92, -9.83436e-12
0.921, -9.42579e-12
0.922, 1.21243e-11
0.923, 1.17262e-11
0.924, -9.81726e-12
0.925, -9.4087e-12
0.926, 1.21414e-11
0.927, 1.17435e-11
0.928, -9.79994e-12
0.929, -9.39138e-12
0.93, 1.21589e-11
0.931, 1.1761e-11
0.932, -9.7824e-12
0.933, -9.37384e-12
0.934, 1.21765e-11
0.935, 1.17786e-11
0.936, -9.76486e-12
0.937, -9.35629e-12
0.938, 1.2194e-11
0.939, 1.17961e-11
0.94, -9.74731e-12
0.941, -9.33875e-12
0.942, 1.22116e-11
0.943, 1.18137e-11
0.944, -9.72977e-12
0.945, -9.32121e-12
0.946, 1.22291e-11
0.947, 1.18312e-11
0.948, -9.71223e-12
0.949, -9.30345e-12
0.95, 1.22469e-11
0.951, 1.1849e-11
0.952, -9.69447e-12
0.953, -9.28568e-12
0.954, 1.22646e-11
0.955, 1.18667e-11
0.956, -9.6767e-12
0.957, -9.26792e-12
0.958, 1.22824e-11
0.959, 1.18845e-11
0.96, -9.65872e-12
0.961, -9.24993e-12
0.962, 1.23006e-11
0.963, 1.19029e-11
0.964, -9.64029e-12
0.965, -9.2315e-12
0.966, 1.2319e-11
0.967, 1.19214e-11
0.968, -9.62186e-12
0.969, -9.21307e-12
0.97, 1.23375e-11
0.971, 1.19398e-11
0.972, -9.60343e-12
0.973, -9.19465e-12
0.974, 1.23559e-11
0.975, 1.19582e-11
0.976, -9.585e-12
0.977, -9.17622e-12
0.978, 1.23743e-11
0.979, 1.19766e-11
0.98, -9.56657e-12
0.981, -9.15779e-12
0.982, 1.23928e-11
0.983, 1.19951e-11
0.984, -9.54814e-12
0.985, -9.13913e-12
0.986, 1.24114e-11
0.987, 1.20137e-11
0.988, -9.52949e-12
0.989, -9.12048e-12
0.99, 1.24301e-11
0.991, 1.20324e-11
0.992, -9.51084e-12
0.993, -9.10183e-12
0.994, 1.24487e-11
0.995, 1.2051e-11
0.996, -9.49196e-12
0.997, -9.08296e-12
0.998, 1.24678e-11
0.999, 1.20703e-11
1, -9.47264e-12
1.001, -9.06364e-12
1.002, 1.24871e-11
1.003, 1.20897e-11
1.004, -9.45333e-12
1.005, -9.04432e-12
1.006, 1.25064e-11
1.007, 1.2109e-11
1.008, -9.43401e-12
1.009, -9.025e-12
1.01, 1.25258e-11
1.011, 1.21283e-11
1.012, -9.41447e-12
1.013, -9.00546e-12
1.014, 1.25453e-11
1.015, 1.21478e-11
1.016, -9.39515e-12
1.017, -8.98615e-12
1.018, 1.25646e-11
1.019, 1.21672e-11
1.02, -9.37583e-12
1.021, -8.96661e-12
1.022, 1.25842e-11
1.023, 1.21867e-11
1.024, -9.35629e-12
1.025, -8.94707e-12
1.026, 1.26037e-11
1.027, 1.22062e-11
1.028, -9.33675e-12
1.029, -8.92753e-12
1.03, 1.26232e-11
1.031, 1.22258e-11
1.032, -9.31699e-12
1.033, -8.90776e-12
1.034, 1.26432e-11
1.035, 1.2246e-11
1.036, -9.29679e-12
1.037, -8.88756e-12
1.038, 1.26634e-11
1.039, 1.22662e-11
1.04, -9.27658e-12
1.041, -8.86735e-12
1.042, 1.26836e-11
1.043, 1.22864e-11
1.044, -9.25637e-12
1.045, -8.84715e-12
1.046, 1.27038e-11
1.047, 1.23066e-11
1.048, -9.23617e-12
1.049, -8.82694e-12
1.05, 1.2724e-11
1.051, 1.23268e-11
1.052, -9.21574e-12
1.053, -8.80651e-12
1.054, 1.27445e-11
1.055, 1.23472e-11
1.056, -9.19553e-12
1.057, -8.78608e-12
1.058, 1.27649e-11
1.059, 1.23677e-11
1.06, -9.17511e-12
1.061, -8.76565e-12
1.062, 1.27853e-11
1.063, 1.23881e-11
1.064, -9.15445e-12
1.065, -8.745e-12
1.066, 1.2806e-11
1.067, 1.24087e-11
1.068, -9.1338e-12
