sim_time, my_robot/cart?world_linear_velocity/x_1
0.764, -1.09175e-11
0.765, 3.93476e-11
0.766, 1.7571e-11
0.767, -3.28369e-11
0.768, -1.08884e-11
0.769, 3.93767e-11
0.77, 1.75999e-11
0.771, -3.28077e-11
0.772, -1.08632e-11
0.773, 3.94019e-11
0.774, 1.76213e-11
0.775, -3.27863e-11
0.776, -1.0838e-11
0.777, 3.9431e-11
0.778, 1.76465e-11
0.779, -3.27611e-11
0.78, -1.08128e-11
0.781, 3.94563e-11
0.782, 1.76716e-11
0.783, -3.27358e-11
0.784, -1.07876e-11
0.785, 3.94776e-11
0.786, 1.77007e-11
0.787, -3.27106e-11
0.788, -1.07663e-11
0.789, 3.9499e-11
0.79, 1.7722e-11
0.791, -3.26853e-11
0.792, -1.07411e-11
0.793, 3.95242e-11
0.794, 1.77472e-11
0.795, -3.26601e-11
0.796, -1.07159e-11
0.797, 3.95495e-11
0.798, 1.77723e-11
0.799, -3.26388e-11
0.8, -1.0687e-11
0.801, 3.95786e-11
0.802, 1.78013e-11
0.803, -3.26097e-11
0.804, -1.06618e-11
0.805, 3.96076e-11
0.806, 1.78303e-11
0.807, -3.25806e-11
0.808, -1.06329e-11
0.809, 3.96329e-11
0.81, 1.78517e-11
0.811, -3.25555e-11
0.812, -1.06078e-11
0.813, 3.96581e-11
0.814, 1.78768e-11
0.815, -3.25341e-11
0.816, -1.05865e-11
0.817, 3.96795e-11
0.818, 1.79019e-11
0.819, -3.25049e-11
0.82, -1.05574e-11
0.821, 3.97046e-11
0.822, 1.7927e-11
0.823, -3.24874e-11
0.824, -1.05438e-11
0.825, 3.97222e-11
0.826, 1.79445e-11
0.827, -3.24622e-11
0.828, -1.05148e-11
0.829, 3.97512e-11
0.83, 1.79773e-11
0.831, -3.24371e-11
0.832, -1.04858e-11
0.833, 3.97764e-11
0.834, 1.80024e-11
0.835, -3.2408e-11
0.836, -1.04569e-11
0.837, 3.98093e-11
0.838, 1.80313e-11
0.839, -3.23828e-11
0.84, -1.04318e-11
0.841, 3.98344e-11
0.842, 1.80526e-11
