sim_time, my_robot/cart?world_linear_acceleration/x_1
0.893, 4.86987e-08
0.894, -2.34041e-08
0.895, -4.88455e-08
0.896, 2.35721e-08
0.897, 4.86989e-08
0.898, -2.34003e-08
0.899, -4.88417e-08
0.9, 2.35682e-08
0.901, 4.86989e-08
0.902, -2.34042e-08
0.903, -4.88417e-08
0.904, 2.3572e-08
0.905, 4.86951e-08
0.906, -2.33927e-08
0.907, -4.88455e-08
0.908, 2.3572e-08
0.909, 4.86951e-08
0.91, -2.33966e-08
0.911, -4.88415e-08
0.912, 2.35681e-08
0.913, 4.87027e-08
0.914, -2.34081e-08
0.915, -4.88415e-08
0.916, 2.35719e-08
0.917, 4.86989e-08
0.918, -2.34005e-08
0.919, -4.88453e-08
0.92, 2.35719e-08
0.921, 4.87028e-08
0.922, -2.34044e-08
0.923, -4.88376e-08
0.924, 2.3568e-08
0.925, 4.8699e-08
0.926, -2.34044e-08
0.927, -4.88375e-08
0.928, 2.3568e-08
0.929, 4.86952e-08
0.93, -2.34006e-08
0.931, -4.88452e-08
0.932, 2.35718e-08
0.933, 4.86992e-08
0.934, -2.34045e-08
0.935, -4.88414e-08
0.936, 2.35679e-08
0.937, 4.86992e-08
0.938, -2.33968e-08
0.939, -4.88452e-08
0.94, 2.35717e-08
0.941, 4.86954e-08
0.942, -2.33969e-08
0.943, -4.88414e-08
0.944, 2.3564e-08
0.945, 4.87031e-08
0.946, -2.33969e-08
0.947, -4.8845e-08
0.948, 2.35678e-08
0.949, 4.8703e-08
0.95, -2.34007e-08
0.951, -4.8845e-08
0.952, 2.35716e-08
0.953, 4.86991e-08
0.954, -2.34008e-08
0.955, -4.88448e-08
0.956, 2.35677e-08
0.957, 4.87029e-08
0.958, -2.34008e-08
0.959, -4.8841e-08
0.96, 2.35677e-08
0.961, 4.86991e-08
0.962, -2.34047e-08
0.963, -4.88409e-08
0.964, 2.35676e-08
0.965, 4.86954e-08
0.966, -2.34009e-08
0.967, -4.88411e-08
0.968, 2.35677e-08
0.969, 4.87031e-08
0.97, -2.34048e-08
0.971, -4.88449e-08
0.972, 2.35676e-08
0.973, 4.87033e-08
0.974, -2.3401e-08
0.975, -4.88411e-08
0.976, 2.35676e-08
0.977, 4.86995e-08
0.978, -2.33972e-08
0.979, -4.88449e-08
0.98, 2.35714e-08
0.981, 4.86995e-08
0.982, -2.3401e-08
0.983, -4.88411e-08
0.984, 2.35675e-08
0.985, 4.86996e-08
0.986, -2.3401e-08
0.987, -4.88411e-08
0.988, 2.35713e-08
0.989, 4.86996e-08
0.99, -2.3405e-08
0.991, -4.8837e-08
0.992, 2.35636e-08
0.993, 4.87033e-08
0.994, -2.34011e-08
0.995, -4.88409e-08
0.996, 2.35674e-08
0.997, 4.86995e-08
0.998, -2.3405e-08
0.999, -4.88445e-08
1, 2.35674e-08
1.001, 4.86994e-08
1.002, -2.33973e-08
1.003, -4.88445e-08
1.004, 2.35674e-08
1.005, 4.87033e-08
1.006, -2.34012e-08
1.007, -4.88445e-08
1.008, 2.35673e-08
1.009, 4.86996e-08
1.01, -2.33974e-08
1.011, -4.88446e-08
1.012, 2.35673e-08
1.013, 4.87034e-08
1.014, -2.34012e-08
1.015, -4.88409e-08
1.016, 2.35674e-08
1.017, 4.86995e-08
1.018, -2.33974e-08
1.019, -4.88447e-08
1.02, 2.35673e-08
1.021, 4.86997e-08
1.022, -2.34051e-08
1.023, -4.88371e-08
1.024, 2.35673e-08
1.025, 4.86997e-08
1.026, -2.34012e-08
1.027, -4.88409e-08
1.028, 2.35711e-08
1.029, 4.86997e-08
1.03, -2.34051e-08
1.031, -4.8837e-08
1.032, 2.35711e-08
1.033, 4.86921e-08
1.034, -2.33974e-08
1.035, -4.88447e-08
1.036, 2.35672e-08
1.037, 4.86998e-08
1.038, -2.34013e-08
1.039, -4.88408e-08
1.04, 2.35672e-08
1.041, 4.86998e-08
1.042, -2.34014e-08
1.043, -4.88445e-08
1.044, 2.35672e-08
1.045, 4.86997e-08
1.046, -2.34013e-08
1.047, -4.88406e-08
1.048, 2.3571e-08
1.049, 4.87035e-08
1.05, -2.34053e-08
1.051, -4.88366e-08
1.052, 2.35633e-08
1.053, 4.86996e-08
1.054, -2.33975e-08
1.055, -4.88444e-08
1.056, 2.3571e-08
1.057, 4.86995e-08
1.058, -2.34052e-08
1.059, -4.88405e-08
1.06, 2.3571e-08
1.061, 4.86995e-08
1.062, -2.34014e-08
1.063, -4.88444e-08
1.064, 2.35709e-08
1.065, 4.86959e-08
1.066, -2.34014e-08
1.067, -4.88407e-08
