sim_time, my_robot/rail_cart_joint?0/position
6.678, -8.258e-09
6.679, -8.27439e-09
6.68, -8.31195e-09
6.681, -8.32759e-09
6.682, -8.32213e-09
6.683, -8.33864e-09
6.684, -8.37632e-09
6.685, -8.39209e-09
6.686, -8.38674e-09
6.687, -8.40338e-09
6.688, -8.44119e-09
6.689, -8.45708e-09
6.69, -8.45186e-09
6.691, -8.46862e-09
6.692, -8.50655e-09
6.693, -8.52257e-09
6.694, -8.51747e-09
6.695, -8.53436e-09
6.696, -8.57242e-09
6.697, -8.58856e-09
6.698, -8.58359e-09
6.699, -8.6006e-09
6.7, -8.63879e-09
6.701, -8.65505e-09
6.702, -8.65021e-09
6.703, -8.66735e-09
6.704, -8.70567e-09
6.705, -8.72206e-09
6.706, -8.71735e-09
6.707, -8.73461e-09
6.708, -8.77306e-09
6.709, -8.78958e-09
6.71, -8.785e-09
6.711, -8.80239e-09
6.712, -8.84097e-09
6.713, -8.85762e-09
6.714, -8.85317e-09
6.715, -8.87069e-09
6.716, -8.9094e-09
6.717, -8.92618e-09
6.718, -8.92186e-09
6.719, -8.93952e-09
6.72, -8.97835e-09
6.721, -8.99527e-09
6.722, -8.99108e-09
6.723, -9.00887e-09
6.724, -9.04784e-09
6.725, -9.06489e-09
6.726, -9.06083e-09
6.727, -9.07875e-09
6.728, -9.11785e-09
6.729, -9.13504e-09
6.73, -9.13111e-09
6.731, -9.14917e-09
6.732, -9.18841e-09
6.733, -9.20573e-09
6.734, -9.20194e-09
6.735, -9.22013e-09
6.736, -9.2595e-09
6.737, -9.27696e-09
6.738, -9.27331e-09
6.739, -9.29164e-09
6.74, -9.33114e-09
6.741, -9.34874e-09
6.742, -9.34522e-09
6.743, -9.36369e-09
6.744, -9.40333e-09
6.745, -9.42106e-09
6.746, -9.41769e-09
6.747, -9.43629e-09
6.748, -9.47608e-09
6.749, -9.49395e-09
6.75, -9.49071e-09
6.751, -9.50945e-09
6.752, -9.54938e-09
6.753, -9.56739e-09
6.754, -9.56429e-09
6.755, -9.58318e-09
6.756, -9.62324e-09
6.757, -9.64139e-09
6.758, -9.63844e-09
6.759, -9.65747e-09
6.76, -9.69767e-09
6.761, -9.71597e-09
6.762, -9.71315e-09
6.763, -9.73232e-09
6.764, -9.77268e-09
6.765, -9.79111e-09
6.766, -9.78844e-09
6.767, -9.80776e-09
6.768, -9.84825e-09
6.769, -9.86683e-09
6.77, -9.86431e-09
6.771, -9.88377e-09
6.772, -9.92441e-09
6.773, -9.94314e-09
6.774, -9.94076e-09
6.775, -9.96036e-09
6.776, -1.00011e-08
6.777, -1.002e-08
6.778, -1.00178e-08
6.779, -1.00375e-08
6.78, -1.00785e-08
6.781, -1.00975e-08
6.782, -1.00954e-08
6.783, -1.01153e-08
6.784, -1.01564e-08
6.785, -1.01756e-08
6.786, -1.01736e-08
6.787, -1.01937e-08
6.788, -1.02349e-08
6.789, -1.02542e-08
6.79, -1.02525e-08
6.791, -1.02727e-08
6.792, -1.0314e-08
6.793, -1.03335e-08
6.794, -1.03319e-08
6.795, -1.03522e-08
6.796, -1.03938e-08
6.797, -1.04134e-08
6.798, -1.04119e-08
