sim_time, my_robot/cart?world_linear_velocity/x
6.574, -1.30649e-08
6.575, -1.31404e-08
6.576, -1.31435e-08
6.577, -1.31184e-08
6.578, -1.31653e-08
6.579, -1.3241e-08
6.58, -1.32443e-08
6.581, -1.32193e-08
6.582, -1.32665e-08
6.583, -1.33423e-08
6.584, -1.33458e-08
6.585, -1.33211e-08
6.586, -1.33684e-08
6.587, -1.34444e-08
6.588, -1.34482e-08
6.589, -1.34236e-08
6.59, -1.34711e-08
6.591, -1.35474e-08
6.592, -1.35513e-08
6.593, -1.35269e-08
6.594, -1.35746e-08
6.595, -1.36511e-08
6.596, -1.36552e-08
6.597, -1.3631e-08
6.598, -1.36789e-08
6.599, -1.37556e-08
6.6, -1.37599e-08
6.601, -1.37359e-08
6.602, -1.3784e-08
6.603, -1.38608e-08
6.604, -1.38653e-08
6.605, -1.38416e-08
6.606, -1.38899e-08
6.607, -1.39669e-08
6.608, -1.39716e-08
6.609, -1.39481e-08
6.61, -1.39966e-08
6.611, -1.40738e-08
6.612, -1.40788e-08
6.613, -1.40554e-08
6.614, -1.41041e-08
6.615, -1.41816e-08
6.616, -1.41867e-08
6.617, -1.41635e-08
6.618, -1.42125e-08
6.619, -1.42901e-08
6.62, -1.42955e-08
6.621, -1.42725e-08
6.622, -1.43217e-08
6.623, -1.43995e-08
6.624, -1.4405e-08
6.625, -1.43823e-08
6.626, -1.44317e-08
6.627, -1.45097e-08
6.628, -1.45155e-08
6.629, -1.4493e-08
6.63, -1.45425e-08
6.631, -1.46208e-08
6.632, -1.46268e-08
6.633, -1.46044e-08
6.634, -1.46542e-08
6.635, -1.47327e-08
6.636, -1.47389e-08
6.637, -1.47168e-08
6.638, -1.47668e-08
6.639, -1.48455e-08
6.64, -1.48519e-08
6.641, -1.483e-08
6.642, -1.48802e-08
6.643, -1.49591e-08
6.644, -1.49657e-08
6.645, -1.49441e-08
6.646, -1.49945e-08
6.647, -1.50736e-08
6.648, -1.50805e-08
6.649, -1.5059e-08
6.65, -1.51097e-08
6.651, -1.5189e-08
6.652, -1.51961e-08
6.653, -1.51748e-08
6.654, -1.52257e-08
6.655, -1.53053e-08
6.656, -1.53125e-08
6.657, -1.52915e-08
6.658, -1.53426e-08
6.659, -1.54224e-08
6.66, -1.54299e-08
6.661, -1.54091e-08
6.662, -1.54605e-08
6.663, -1.55405e-08
6.664, -1.55482e-08
6.665, -1.55276e-08
6.666, -1.55792e-08
6.667, -1.56594e-08
6.668, -1.56674e-08
6.669, -1.56471e-08
6.67, -1.56988e-08
6.671, -1.57793e-08
6.672, -1.57875e-08
6.673, -1.57674e-08
6.674, -1.58194e-08
6.675, -1.59001e-08
6.676, -1.59085e-08
6.677, -1.58886e-08
6.678, -1.59409e-08
6.679, -1.60218e-08
6.68, -1.60304e-08
6.681, -1.60108e-08
6.682, -1.60633e-08
6.683, -1.61444e-08
6.684, -1.61533e-08
6.685, -1.61339e-08
6.686, -1.61866e-08
6.687, -1.6268e-08
6.688, -1.62771e-08
6.689, -1.6258e-08
6.69, -1.63109e-08
6.691, -1.63926e-08
6.692, -1.64019e-08
6.693, -1.6383e-08
6.694, -1.64362e-08
6.695, -1.6518e-08
6.696, -1.65276e-08
6.697, -1.65089e-08
6.698, -1.65624e-08
6.699, -1.66445e-08
6.7, -1.66543e-08
6.701, -1.66359e-08
6.702, -1.66895e-08
6.703, -1.67719e-08
6.704, -1.6782e-08
6.705, -1.67638e-08
6.706, -1.68177e-08
6.707, -1.69003e-08
6.708, -1.69106e-08
6.709, -1.68926e-08
6.71, -1.69468e-08
6.711, -1.70296e-08
6.712, -1.70402e-08
6.713, -1.70225e-08
6.714, -1.70769e-08
6.715, -1.716e-08
6.716, -1.71708e-08
6.717, -1.71533e-08
6.718, -1.7208e-08
6.719, -1.72914e-08
6.72, -1.73024e-08
6.721, -1.72852e-08
6.722, -1.73401e-08
6.723, -1.74237e-08
6.724, -1.7435e-08
6.725, -1.74181e-08
6.726, -1.74732e-08
6.727, -1.75571e-08
6.728, -1.75687e-08
6.729, -1.7552e-08
6.73, -1.76074e-08
6.731, -1.76915e-08
6.732, -1.77033e-08
6.733, -1.76869e-08
6.734, -1.77426e-08
6.735, -1.78269e-08
6.736, -1.7839e-08
6.737, -1.78228e-08
6.738, -1.78788e-08
6.739, -1.79634e-08
6.74, -1.79757e-08
6.741, -1.79598e-08
6.742, -1.8016e-08
6.743, -1.81009e-08
6.744, -1.81135e-08
6.745, -1.80978e-08
6.746, -1.81543e-08
